,Sharpe,Risk
CECE,-0.4844863772058254,0.026579518697097453
CECO,1.3866416385424323,0.02460277569373909
CELG,1.347446238671632,0.015144808589973675
CELH,2.2473157928139513,0.04244792604458208
CEMI,-0.34679652089952995,0.02092282815172134
CEMP,-0.7577088559255701,0.08085737779109291
CENT,1.2449539564932923,0.02389869125150996
CENTA,1.2761854140314706,0.023586863008139964
CENX,2.075402875539492,0.03978455144859159
CERC,-0.3938494165279817,0.1213211960552016
CERN,0.7571167345367878,0.014005107460327746
CERS,-0.8343686219794745,0.04078145376889672
CETV,0.6177255705960389,0.018480292410248324
CETX,-0.3394142299415792,0.0501451292114632
CEVA,0.6269594567928153,0.021524521931540325
CEZ,1.4338614624344714,0.027002513965667354
CFA,3.057395950826221,0.018609231891277334
CFBK,1.1708644792848346,0.042364493205257904
CFCO,1.3299814278931328,0.007789456968892864
CFFI,1.575579378012892,0.01404023494280949
CFFN,0.7141976488643775,0.010294882333683551
CFMS,-0.8022743498978684,0.046512914963890185
CFNB,2.1557631656965217,0.012060475790393075
CFO,3.0508840141254763,0.018648498591971763
CFRX,-0.6127146385338575,0.062080727878673525
CG,2.763451339537692,0.016580295868676927
CGEN,-0.6505428564425337,0.019207481991687054
CGIX,0.6027126178667149,0.05890410588858764
CGNT,1.0702684459977208,0.04583484260333842
CGNX,4.279591469013663,0.018439084621797146
CGO,2.0474411271064903,0.020043719449884593
CHCI,-0.2481367700247586,0.03690412965023192
CHCO,1.8567349449116273,0.01573106219998808
CHDN,2.9219619995874004,0.010312961696102779
CHEF,1.7528790251704418,0.02673683493307949
CHEK,-0.20120832780834122,0.05835145329872567
CHFC,0.7335050137224542,0.01630941378144631
CHFN,1.7357287959988998,0.01680618362891594
CHFS,-0.4112209346984981,0.14907350414128528
CHI,3.698102867599992,0.01080380656178505
CHKE,-1.0436721445906287,0.04997686084940663
CHKP,0.9067700051008415,0.010432445690562214
CHMA,-0.23153409096467711,0.05228225065980677
CHMG,2.4542262057286868,0.015318413212618396
CHNR,0.2589110212398668,0.11702631425378546
CHRS,-0.7059644962610113,0.038638617295232484
CHRW,0.5936211742201091,0.01150204825487511
CHTR,1.731232145474172,0.014496968722265415
CHUBA,1.8645530777467925,0.016112407409822775
CHUBK,1.62793740905746,0.01585731562989161
CHUY,-0.8318680819554727,0.017971727365981745
CHW,3.092664587712176,0.01720563046219217
CHY,3.5098056899226906,0.0111546980926913
CIBR,1.256614039661195,0.024637088804869277
CID,2.075569959551934,0.021397303260408278
CIDM,-0.3338878113228882,0.05009798093677879
CIGI,0.824835698938798,0.016060455933089083
CIL,2.473564536002088,0.021247409459244387
CINF,0.42171479921478483,0.010322028261524162
CIU,0.5671445208373651,0.007220192625625467
CIVB,1.586396699800652,0.021174593056025932
CIZ,2.1840587858678435,0.020368680825382086
CIZN,0.48761276803027576,0.01855959664980743
CJJD,0.30066796622189806,0.022002155889916504
CLBS,-0.34504989797462,0.039221233380065355
CLCT,1.07347528802405,0.02455993675290298
CLDC,-0.3753220301235346,0.04885230492090259
CLDX,-0.5888375976526032,0.037034130360768906
CLFD,-0.7699384885509595,0.022897790285632165
CLIR,-0.7520379098279963,0.03780594824519888
CLLS,-0.2723978971395396,0.02472582332782384
CLMT,1.878415339661318,0.03676851889768382
CLNE,-0.9990918606032942,0.030002234990485488
CLNT,-0.4243095567300414,0.06039430185912001
CLRB,-0.374562534983524,0.05334957144837668
CLRO,-0.9568144682158203,0.021093060055341326
CLSD,-0.6884492481647597,0.05131324318651761
CLSN,-0.23287201346222744,0.21589103472766333
CLUB,3.0302213683474823,0.036217225790723256
CLVS,1.7408991385833363,0.04891600141035387
CLWT,0.21117880991397048,0.05437521918600148
CMCO,2.721186435194192,0.026075653712803494
CMCSA,1.0726273867948017,0.010641553294465731
CMCT,0.7963544848490723,0.021498132442271972
CME,2.314329255513921,0.010838122938779017
CMFN,0.7894260943281839,0.015120671907479594
CMLS,-0.7754342975482851,0.07273463705571899
CMPR,-0.16986525133918548,0.015463772851514755
CMRX,-0.16267702143179671,0.03134522134282602
CMTL,1.3305564788496578,0.033625855096289584
CNAT,0.9536318301370202,0.10496247064406095
CNBKA,3.920566962844286,0.013709676596099507
CNCE,0.6667615660516277,0.051212236787483406
CNCR,0.1826811332153159,0.08407348152702356
CNET,-0.46330949491793894,0.04047053293983986
CNFR,-0.3985316627627409,0.029340871231254836
CNIT,-0.9933905413068006,0.027544557086175297
CNMD,1.7281701170080468,0.013751251534916265
CNOB,1.2235491032600117,0.018641479099280513
CNSL,-0.4084273312422845,0.019417716063291315
CNTF,1.1069002105729424,0.03330806736939971
CNTY,0.6716679535307414,0.021209819246053082
CNXN,0.7093917085230754,0.012556240831188243
CNXR,-0.7711249055765194,0.05538422863322508
COBZ,1.7180780530209672,0.016565336898908222
COGT,0.1803777090330815,0.042846372941774465
COHR,2.8134385272444757,0.028699865923724328
COHU,2.819994187479855,0.02572259133802821
COKE,2.052392246097783,0.018130986255349694
COLB,1.1252894632897177,0.015434569520317435
COLL,-0.7316232150552971,0.036141587246165466
COLM,0.44030143807191846,0.01624134177345791
COMM,0.19468734913076216,0.01809463107980173
COMT,1.0239392444328546,0.02250011597501929
CONE,1.5885703453844897,0.015135548667645108
CONN,2.010126547513821,0.043712525189306524
COOL,6.576561132464492,0.06946850106890812
CORE,0.28776447272371486,0.022045791228465603
CORI,1.2936844601436222,0.04396303714620618
CORT,4.204363343488318,0.03193574737417053
COST,0.9384476461805497,0.010815665959311434
COWN,0.49302004407123484,0.028074645816635643
CPAH,-0.020876596355917747,0.03318813817522532
CPHC,0.5359536171905667,0.018971177116766966
CPIX,1.0865483774880622,0.022052965482320948
CPLA,0.6473951319963597,0.02069674520437576
CPLP,0.519214006338833,0.025778566694002625
CPRT,1.6278602844536296,0.010240800581545233
CPRX,1.1584530302048237,0.042874271923360095
CPSH,-0.4269243743498584,0.04804190473241526
CPSI,0.5718263328347873,0.02210329952322463
CPSS,0.08910331234766569,0.03012103534119099
CPST,-0.4633154665116222,0.03950679356035521
CPTA,-0.6981355916256887,0.018850103875578814
CRAI,1.7812142357608665,0.020758151045071074
CRAY,-0.384552977451542,0.02728469148545424
CRBP,-0.0555387940095866,0.061456196266968355
CRED,0.4598971750569974,0.010942227334128205
CREE,0.5736402190104511,0.02041533173652429
CREG,-0.8253935468678987,0.036083582184622966
CRESY,2.306708183738431,0.01745751963133111
CRIS,-0.6801028217950631,0.044998230520367465
CRME,-0.4452303972546815,0.031388334807177794
CRMT,0.34365099654142656,0.025243322617798228
CRNT,2.249707627556936,0.03813246093810372
CROX,0.2623691903966864,0.024772716433834212
CRTN,-0.07051713247153384,0.07551484707951918
CRTO,0.564360264676239,0.01940262163888865
CRUS,0.12130418768208723,0.022418008031267984
CRVL,2.3230783245381654,0.015760327426317864
CRVS,0.0054775620764722765,0.044583539659992004
CRWS,-0.8307211761486701,0.023986634851814966
CRZO,-1.1067575504827816,0.034482308058866804
CSA,1.4551895395565133,0.044980916293336067
CSB,1.2770313115259955,0.04270481058438478
CSBK,0.6817496364980744,0.009797071578105969
CSBR,0.9072065233769594,0.07423317318363223
CSCO,0.6147593439239413,0.010126626727315704
CSF,1.453324879768489,0.0450705775884553
CSFL,2.5024752600114666,0.014651823836124019
CSGP,1.2455155142818763,0.0134848653195621
CSGS,0.09650478769800062,0.02040531970154112
CSII,0.6394167056788937,0.0210786534716739
CSIQ,-0.6759454298064079,0.028468175019989633
CSJ,1.5673790477504412,0.002176612919541541
CSOD,-0.21113212911068063,0.025537312227907064
CSPI,0.17632227496275218,0.025640387674629374
